Views;Name;Person ID;Link;URI
2307851;Leonardo DiCaprio;Q38111;https://de.wikipedia.org/wiki/Leonardo_DiCaprio;http://www.wikidata.org/entity/Q38111
1625940;Alan Rickman;Q106481;https://de.wikipedia.org/wiki/Alan_Rickman;http://www.wikidata.org/entity/Q106481
1501762;Götz George;Q63062;https://de.wikipedia.org/wiki/G%C3%B6tz_George;http://www.wikidata.org/entity/Q63062
1309618;Quentin Tarantino;Q3772;https://de.wikipedia.org/wiki/Quentin_Tarantino;http://www.wikidata.org/entity/Q3772
1179528;Johnny Depp;Q37175;https://de.wikipedia.org/wiki/Johnny_Depp;http://www.wikidata.org/entity/Q37175
1172646;Jennifer Lawrence;Q189490;https://de.wikipedia.org/wiki/Jennifer_Lawrence;http://www.wikidata.org/entity/Q189490
1129865;Peter Lustig;Q91548;https://de.wikipedia.org/wiki/Peter_Lustig;http://www.wikidata.org/entity/Q91548
1072779;Carrie Fisher;Q108941;https://de.wikipedia.org/wiki/Carrie_Fisher;http://www.wikidata.org/entity/Q108941
1019914;Sylvester Stallone;Q40026;https://de.wikipedia.org/wiki/Sylvester_Stallone;http://www.wikidata.org/entity/Q40026
930779;Channing Tatum;Q212064;https://de.wikipedia.org/wiki/Channing_Tatum;http://www.wikidata.org/entity/Q212064
889436;Mila Kunis;Q37628;https://de.wikipedia.org/wiki/Mila_Kunis;http://www.wikidata.org/entity/Q37628
884027;Tom Hanks;Q2263;https://de.wikipedia.org/wiki/Tom_Hanks;http://www.wikidata.org/entity/Q2263
863943;Angelina Jolie;Q13909;https://de.wikipedia.org/wiki/Angelina_Jolie;http://www.wikidata.org/entity/Q13909
862523;Kaley Cuoco;Q16759;https://de.wikipedia.org/wiki/Kaley_Cuoco;http://www.wikidata.org/entity/Q16759
862450;Brad Pitt;Q35332;https://de.wikipedia.org/wiki/Brad_Pitt;http://www.wikidata.org/entity/Q35332
850729;Heath Ledger;Q40572;https://de.wikipedia.org/wiki/Heath_Ledger;http://www.wikidata.org/entity/Q40572
779090;Ariana Grande;Q151892;https://de.wikipedia.org/wiki/Ariana_Grande;http://www.wikidata.org/entity/Q151892
761144;Kim Kardashian;Q186304;https://de.wikipedia.org/wiki/Kim_Kardashian;http://www.wikidata.org/entity/Q186304
749782;Charlie Sheen;Q103939;https://de.wikipedia.org/wiki/Charlie_Sheen;http://www.wikidata.org/entity/Q103939
731407;Shailene Woodley;Q231058;https://de.wikipedia.org/wiki/Shailene_Woodley;http://www.wikidata.org/entity/Q231058
701231;Zac Efron;Q45229;https://de.wikipedia.org/wiki/Zac_Efron;http://www.wikidata.org/entity/Q45229
677770;Chloë Grace Moretz;Q4509;https://de.wikipedia.org/wiki/Chlo%C3%AB_Grace_Moretz;http://www.wikidata.org/entity/Q4509
676046;Robin Williams;Q83338;https://de.wikipedia.org/wiki/Robin_Williams;http://www.wikidata.org/entity/Q83338
667627;Bruce Willis;Q2680;https://de.wikipedia.org/wiki/Bruce_Willis;http://www.wikidata.org/entity/Q2680
662570;Jennifer Aniston;Q32522;https://de.wikipedia.org/wiki/Jennifer_Aniston;http://www.wikidata.org/entity/Q32522
659680;Clint Eastwood;Q43203;https://de.wikipedia.org/wiki/Clint_Eastwood;http://www.wikidata.org/entity/Q43203
649788;Keanu Reeves;Q43416;https://de.wikipedia.org/wiki/Keanu_Reeves;http://www.wikidata.org/entity/Q43416
642329;Natalie Portman;Q37876;https://de.wikipedia.org/wiki/Natalie_Portman;http://www.wikidata.org/entity/Q37876
639074;Jake Gyllenhaal;Q133313;https://de.wikipedia.org/wiki/Jake_Gyllenhaal;http://www.wikidata.org/entity/Q133313
638239;Selena Gomez;Q83287;https://de.wikipedia.org/wiki/Selena_Gomez;http://www.wikidata.org/entity/Q83287
